Timestamp,Date,Overall Mood Rating,Mood Intensity,Positive Affect (PANAS + POMS “Vigor/Serenity”),Negative Affect (PANAS + POMS “Tension/Depression/Anger/Fatigue”),Who were you with?,Where were you?,What were you mainly doing?
12/1/2025 11:04:12,12/1/2025 11:00:00,Positive,3,"Motivated, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/1/2025 12:01:18,12/1/2025 12:00:00,Positive,3,"Cheerful, Calm",,Family,Home,"Entertainment (games, videos, etc.)"
12/1/2025 13:01:45,12/1/2025 13:00:00,Positive,2,"Calm, Relaxed",,Family,Home,Eating
12/1/2025 14:01:29,12/1/2025 14:00:00,Neutral,2,Calm,,Family,Home,Chores
12/1/2025 15:46:59,12/1/2025 15:00:00,Neutral,1,Calm,,Strangers,Transit,Commuting
12/1/2025 16:02:07,12/1/2025 16:00:00,Neutral,4,Calm,Irritated,Strangers,Transit,Commuting
12/1/2025 17:03:51,12/1/2025 17:00:00,Positive,4,Cheerful,,Classmates,School,Socializing
12/1/2025 18:01:19,12/1/2025 18:00:00,Neutral,5,,"Stressed, Anxious",Classmates,School,Studying
12/1/2025 19:01:07,12/1/2025 19:00:00,Negative,3,,"Stressed, Anxious, Tired, Irritated",Classmates,School,Studying
12/1/2025 20:02:28,12/1/2025 20:00:00,Very Positive,5,"Cheerful, Energetic",,Friends,Public Place,Eating
12/1/2025 22:06:22,12/1/2025 21:00:00,Very Negative,5,,"Stressed, Irritated",Strangers,Public Place,"Entertainment (games, videos, etc.)"
12/1/2025 22:09:10,12/1/2025 22:00:00,Very Negative,5,,"Stressed, Irritated",Strangers,Public Place,"Entertainment (games, videos, etc.)"
12/1/2025 23:13:22,12/1/2025 23:00:00,Very Positive,5,"Cheerful, Content, Energetic",Anxious,Strangers,Public Place,"Entertainment (games, videos, etc.)"
12/2/2025 0:49:08,12/2/2025 0:00:00,Positive,4,"Cheerful, Content, Energetic","Stressed, Anxious, Overwhelmed",Strangers,Public Place,"Entertainment (games, videos, etc.)"
12/2/2025 1:35:31,12/2/2025 1:00:00,Negative,4,,"Stressed, Sad, Tired, Overwhelmed",Strangers,Public Place,"Entertainment (games, videos, etc.)"
12/2/2025 2:01:38,12/2/2025 2:00:00,Neutral,3,"Calm, Content",Tired,Family,Home,Resting
12/2/2025 9:01:34,12/2/2025 9:00:00,Positive,2,"Calm, Content, Relaxed",,Family,Home,Chores
12/2/2025 10:08:50,12/2/2025 10:00:00,Neutral,3,Calm,,Family,Home,"Entertainment (games, videos, etc.)"
12/2/2025 11:27:57,12/2/2025 11:00:00,Neutral,2,Calm,,Family,Home,"Entertainment (games, videos, etc.)"
12/2/2025 12:02:16,12/2/2025 12:00:00,Neutral,2,Calm,,Family,Home,"Entertainment (games, videos, etc.)"
12/2/2025 13:18:36,12/2/2025 13:00:00,Neutral,4,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/2/2025 14:01:20,12/2/2025 14:00:00,Positive,4,"Cheerful, Motivated",,Family,Home,Socializing
12/2/2025 15:03:03,12/2/2025 15:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,Eating
12/2/2025 23:01:07,12/2/2025 23:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 0:01:13,12/3/2025 0:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 1:04:47,12/3/2025 1:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 2:01:18,12/3/2025 2:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 3:01:08,12/3/2025 3:00:00,Neutral,4,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 4:01:50,12/3/2025 4:00:00,Neutral,2,"Calm, Motivated, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 5:05:07,12/3/2025 5:00:00,Positive,4,"Content, Energetic, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 6:01:06,12/3/2025 6:00:00,Neutral,3,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 7:02:22,12/3/2025 7:00:00,Neutral,2,"Calm, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 8:00:53,12/3/2025 8:00:00,Positive,4,"Cheerful, Motivated, Relaxed",,Family,Home,Eating
12/3/2025 9:02:32,12/3/2025 9:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 10:01:05,12/3/2025 10:00:00,Neutral,2,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 11:15:20,12/3/2025 11:00:00,Very Positive,5,"Cheerful, Energetic, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 12:00:56,12/3/2025 12:00:00,Positive,4,"Cheerful, Energetic, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/3/2025 13:09:59,12/3/2025 13:00:00,Neutral,2,Calm,Tired,Alone,Public Place,Commuting
12/3/2025 14:11:05,12/3/2025 14:00:00,Neutral,1,,Tired,Family,Home,Chores
12/3/2025 15:01:17,12/3/2025 15:00:00,Neutral,3,Relaxed,,Family,Home,Resting
12/4/2025 2:01:17,12/4/2025 2:00:00,Neutral,3,"Calm, Relaxed",,Alone,Home,Resting
12/4/2025 3:00:43,12/4/2025 3:00:00,Positive,4,"Cheerful, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 4:02:39,12/4/2025 4:00:00,Positive,4,"Energetic, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 5:01:04,12/4/2025 5:00:00,Positive,3,"Cheerful, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 6:01:34,12/4/2025 6:00:00,Positive,4,"Energetic, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 7:01:16,12/4/2025 7:00:00,Positive,2,"Calm, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 8:12:42,12/4/2025 8:00:00,Positive,4,"Calm, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 9:17:44,12/4/2025 9:00:00,Positive,3,"Calm, Motivated",Sad,Family,Home,"Entertainment (games, videos, etc.)"
12/4/2025 10:00:52,12/4/2025 10:00:00,Negative,4,,Irritated,Family,Home,Chores
12/4/2025 14:48:23,12/4/2025 14:00:00,Positive,4,"Cheerful, Motivated",,Alone,Home,Chores
12/4/2025 15:08:11,12/4/2025 15:00:00,Positive,4,"Cheerful, Content, Motivated",,Alone,Home,Opening Parcel
12/4/2025 16:01:20,12/4/2025 16:00:00,Neutral,2,"Content, Motivated",,Strangers,Transit,Commuting
12/4/2025 17:24:37,12/4/2025 17:00:00,Positive,3,"Cheerful, Energetic",,Friends,Public Place,Socializing
12/4/2025 18:00:47,12/4/2025 18:00:00,Positive,4,"Cheerful, Energetic, Motivated",,Classmates,School,Socializing
12/4/2025 19:04:27,12/4/2025 19:00:00,Positive,3,"Cheerful, Energetic, Motivated",,Classmates,School,Studying
12/4/2025 20:00:47,12/4/2025 20:00:00,Positive,4,"Cheerful, Energetic, Motivated",,Classmates,Public Place,Socializing
12/4/2025 21:11:41,12/4/2025 21:00:00,Very Positive,5,"Cheerful, Energetic",,Friends,Public Place,Socializing
12/4/2025 23:00:02,12/4/2025 22:00:00,Very Positive,5,"Cheerful, Energetic",,Friends,Public Place,"Entertainment (games, videos, etc.)"
12/4/2025 23:00:34,12/4/2025 23:00:00,Very Positive,5,"Cheerful, Energetic",,Friends,Public Place,"Entertainment (games, videos, etc.)"
12/5/2025 1:07:10,12/5/2025 0:00:00,Very Positive,5,"Cheerful, Energetic, Motivated","Stressed, Anxious, Overwhelmed",Friends,Public Place,"Entertainment (games, videos, etc.)"
12/5/2025 1:09:17,12/5/2025 1:00:00,Positive,5,"Content, Motivated, Relaxed",Tired,Strangers,Transit,Commuting
12/5/2025 2:01:17,12/5/2025 2:00:00,Neutral,2,"Calm, Content, Relaxed",Tired,Family,Home,"Entertainment (games, videos, etc.)"
12/5/2025 9:00:58,12/5/2025 9:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,Resting
12/5/2025 10:01:43,12/5/2025 10:00:00,Neutral,3,"Calm, Content",,Alone,Public Place,Commuting
12/5/2025 11:36:41,12/5/2025 11:00:00,Positive,4,"Cheerful, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/5/2025 12:02:59,12/5/2025 12:00:00,Positive,3,"Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/5/2025 13:01:29,12/5/2025 13:00:00,Positive,5,"Cheerful, Calm, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/5/2025 14:00:58,12/5/2025 14:00:00,Positive,4,"Cheerful, Content, Motivated",Tired,Family,Home,"Entertainment (games, videos, etc.)"
12/5/2025 15:01:24,12/5/2025 15:00:00,Negative,4,,"Anxious, Sad, Irritated",Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 0:01:14,12/6/2025 0:00:00,Neutral,1,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 1:01:05,12/6/2025 1:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 2:01:27,12/6/2025 2:00:00,Positive,4,"Cheerful, Content",,Alone,Home,Resting
12/6/2025 3:01:27,12/6/2025 3:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 4:01:15,12/6/2025 4:00:00,Neutral,2,"Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 5:05:19,12/6/2025 5:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 6:00:59,12/6/2025 6:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 7:01:20,12/6/2025 7:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 8:01:21,12/6/2025 8:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 9:09:44,12/6/2025 9:00:00,Positive,4,"Cheerful, Calm, Content",,Family,Home,Eating
12/6/2025 10:11:33,12/6/2025 10:00:00,Neutral,2,"Motivated, Relaxed",,Family,Home,Resting
12/6/2025 11:04:56,12/6/2025 11:00:00,Neutral,2,"Content, Relaxed",,Family,Home,Studying
12/6/2025 12:07:41,12/6/2025 12:00:00,Neutral,3,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 13:00:47,12/6/2025 13:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 14:01:04,12/6/2025 14:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/6/2025 15:18:07,12/6/2025 15:00:00,Very Positive,5,"Cheerful, Content, Motivated",,Family,Home,Got payment for taking care of cousin’s cats
12/6/2025 16:07:15,12/6/2025 16:00:00,Neutral,3,"Calm, Content, Relaxed",,Family,Home,Eating
12/6/2025 17:00:57,12/6/2025 17:00:00,Positive,1,"Calm, Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 3:08:03,12/7/2025 3:00:00,Neutral,2,Relaxed,,Family,Home,Resting
12/7/2025 4:00:56,12/7/2025 4:00:00,Neutral,3,Calm,,Family,Home,Resting
12/7/2025 5:00:42,12/7/2025 5:00:00,Neutral,4,"Calm, Relaxed",,Alone,Home,Resting
12/7/2025 6:36:49,12/7/2025 6:00:00,Negative,4,,Sad,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 7:04:00,12/7/2025 7:00:00,Neutral,3,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 8:40:56,12/7/2025 8:00:00,Neutral,2,Calm,,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 9:01:09,12/7/2025 9:00:00,Neutral,2,Calm,,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 10:02:38,12/7/2025 10:00:00,Neutral,3,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 11:03:34,12/7/2025 11:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 12:01:05,12/7/2025 12:00:00,Neutral,2,Calm,,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 13:01:04,12/7/2025 13:00:00,Positive,4,"Cheerful, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 14:13:19,12/7/2025 14:00:00,Neutral,3,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 15:05:58,12/7/2025 15:00:00,Neutral,3,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 16:18:51,12/7/2025 16:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 17:00:59,12/7/2025 17:00:00,Neutral,3,"Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 21:00:52,12/7/2025 21:00:00,Neutral,2,Relaxed,,Family,Home,Resting
12/7/2025 22:05:34,12/7/2025 22:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/7/2025 23:01:34,12/7/2025 23:00:00,Negative,4,,Sad,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 0:01:50,12/8/2025 0:00:00,Neutral,3,Content,,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 1:02:25,12/8/2025 1:00:00,Neutral,2,"Content, Relaxed",,Family,Home,Eating
12/8/2025 8:01:35,12/8/2025 8:00:00,Neutral,3,Relaxed,,Family,Home,Resting
12/8/2025 9:05:36,12/8/2025 9:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 10:01:56,12/8/2025 10:00:00,Positive,4,"Cheerful, Content, Motivated",,Family,Home,Eating
12/8/2025 11:00:57,12/8/2025 11:00:00,Positive,4,"Cheerful, Calm, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 12:11:45,12/8/2025 12:00:00,Neutral,3,"Content, Motivated",,Alone,Home,Chores
12/8/2025 13:14:14,12/8/2025 13:00:00,Positive,2,"Calm, Motivated",,Alone,Public Place,Chores
12/8/2025 14:01:13,12/8/2025 14:00:00,Positive,4,"Calm, Content, Motivated, Relaxed",,Family,Home,Eating
12/8/2025 15:01:39,12/8/2025 15:00:00,Neutral,3,"Calm, Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 16:27:56,12/8/2025 16:00:00,Positive,2,"Calm, Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 17:19:20,12/8/2025 17:00:00,Neutral,2,"Calm, Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 18:00:42,12/8/2025 18:00:00,Neutral,3,Content,,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 19:14:08,12/8/2025 19:00:00,Neutral,3,Content,,Family,Home,Eating
12/8/2025 20:01:05,12/8/2025 20:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 21:01:06,12/8/2025 21:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 22:01:06,12/8/2025 22:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/8/2025 23:02:40,12/8/2025 23:00:00,Very Positive,5,"Cheerful, Energetic, Motivated",,Alone,Home,Chores
12/9/2025 0:00:53,12/9/2025 0:00:00,Neutral,3,"Content, Relaxed",,Family,Home,Resting
12/9/2025 7:07:05,12/9/2025 7:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 8:17:49,12/9/2025 8:00:00,Neutral,3,Relaxed,,Family,Home,Eating
12/9/2025 9:18:20,12/9/2025 9:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 10:01:00,12/9/2025 10:00:00,Positive,3,"Calm, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 11:11:27,12/9/2025 11:00:00,Positive,5,"Energetic, Motivated","Stressed, Anxious",Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 12:11:07,12/9/2025 12:00:00,Neutral,3,Calm,,Alone,Home,Chores
12/9/2025 13:09:16,12/9/2025 13:00:00,Positive,4,"Cheerful, Energetic, Relaxed",,Alone,Home,"Entertainment (games, videos, etc.)"
12/9/2025 14:07:46,12/9/2025 14:00:00,Neutral,3,"Calm, Content, Relaxed",,Alone,Home,"Entertainment (games, videos, etc.)"
12/9/2025 15:03:02,12/9/2025 15:00:00,Neutral,3,"Calm, Relaxed",,Alone,Home,"Entertainment (games, videos, etc.)"
12/9/2025 16:07:42,12/9/2025 16:00:00,Positive,4,"Cheerful, Content, Relaxed",,Alone,Home,Eating
12/9/2025 17:02:17,12/9/2025 17:00:00,Positive,4,"Calm, Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 18:01:03,12/9/2025 18:00:00,Neutral,3,"Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 19:07:10,12/9/2025 19:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/9/2025 20:00:58,12/9/2025 20:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,Resting
12/9/2025 23:03:01,12/9/2025 23:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 0:01:54,12/10/2025 0:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 1:01:06,12/10/2025 1:00:00,Neutral,2,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 2:09:58,12/10/2025 2:00:00,Neutral,3,"Content, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 3:00:36,12/10/2025 3:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 12:02:03,12/10/2025 12:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 13:02:48,12/10/2025 13:00:00,Positive,4,"Cheerful, Motivated",,Alone,Public Place,Online Shopping
12/10/2025 14:00:41,12/10/2025 14:00:00,Neutral,3,"Calm, Content",,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 15:01:04,12/10/2025 15:00:00,Positive,4,Calm,,Family,Home,Eating
12/10/2025 16:05:47,12/10/2025 16:00:00,Neutral,3,"Energetic, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 17:00:51,12/10/2025 17:00:00,Neutral,3,"Content, Motivated, Relaxed",,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 18:00:59,12/10/2025 18:00:00,Positive,4,"Cheerful, Content, Motivated",,Family,Home,"Entertainment (games, videos, etc.)"
12/10/2025 19:00:49,12/10/2025 19:00:00,Neutral,3,"Calm, Relaxed",,Family,Home,Resting
12/11/2025 0:01:44,12/11/2025 0:00:00,Neutral,3,Calm,,Alone,Home,Chores
12/11/2025 1:02:27,12/11/2025 1:00:00,Neutral,3,Relaxed,,Family,Home,"Entertainment (games, videos, etc.)"
12/11/2025 2:01:20,12/11/2025 2:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,Resting
12/11/2025 3:00:43,12/11/2025 3:00:00,Neutral,2,"Calm, Relaxed",,Family,Home,Eating
